# Summary: 
# | Name | No results | One result, correct genus | Many results, correct genus | One result, incorrect genus | Many results, incorrect genus | Signal detected | Detected signal is one species |
# | -- | -- | -- | -- | -- | -- | -- | -- |
# | No filter | 58 | 16 | 68 | 22 | 174 | 0.828 | 0.136 |
# | m2 | 105 | 43 | 92 | 16 | 82 | 0.689 | 0.253 |
# | M30 | 186 | 68 | 51 | 15 | 18 | 0.45 | 0.546 |
# | r4 | 131 | 50 | 83 | 15 | 59 | 0.612 | 0.314 |
# | m2M30 | 211 | 61 | 43 | 14 | 9 | 0.376 | 0.591 |
# | m2r4 | 132 | 50 | 83 | 15 | 58 | 0.609 | 0.316 |
# | r4M30 | 219 | 59 | 40 | 16 | 4 | 0.352 | 0.63 |
# | m2r4M30 | 221 | 59 | 39 | 15 | 4 | 0.346 | 0.632 |
# | EukDetect | 221 | 80 | 18 | 15 | 4 | 0.346 | 0.812 |
# | modified EukDetect (MAPQ>=5) | 179 | 77 | 41 | 19 | 22 | 0.47 | 0.604 |
# | our method | 133 | 107 | 29 | 57 | 12 | 0.607 | 0.8 |
# Values legend: 
# NR: No results
# OC: One result, correct genus
# MC: Many results, correct genus
# OI: One result, incorrect genus
# MI: Many results, incorrect genus
#
species	No filter	m2	M30	r4	m2M30	m2r4	r4M30	m2r4M30	EukDetect	modified EukDetect (MAPQ>=5)	our method
211522|Acanthamoeba quina	MC	MC	MC	MC	MC	MC	MC	MC	OC	OC	MC
216777|Proboscia alata	MI	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
218633|Cordyceps cicadae	MI	MC	MC	MC	OC	MC	OC	OC	OC	MC	OC
220873|Tegillarca granosa	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
221942|Setaria equina	MI	MI	OC	MI	OC	MI	OC	OC	OC	OC	OC
223996|Protocruzia adherens	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
230439|Peronospora tabacina	MI	MI	OC	OC	OC	OC	OC	OC	OC	OC	OI
230516|Chaetoceros curvisetus	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
230603|Saccharomyces uvarum	MC	MC	OC	OC	OC	OC	OC	OC	OC	OC	OC
232287|Telonema subtile	MI	NR	OI	NR	NR	NR	NR	NR	NR	NR	NR
249248|Adineta ricciae	MI	OC	NR	OC	NR	OC	NR	NR	NR	NR	OC
253104|Hymenoscyphus herbarum	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	OC
258770|Melampsora medusae f. sp. deltoidis	MC	MC	OC	MC	OC	MC	OC	OC	OC	OC	OC
261658|Cavenderia fasciculata	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
264483|Phaffia rhodozyma	OI	OI	OI	OI	OI	OI	OI	OI	OI	OI	OI
265564|Thalassiosira punctigera	MI	OC	NR	NR	NR	NR	NR	NR	NR	NR	NR
268474|Trichinella papuae	MC	MC	MC	MC	MC	MC	MC	MC	OC	OC	OC
270529|Tetragonula mellipes	MI	MI	MI	MI	MI	MI	MC	MC	OC	MI	MI
271357|[Candida] gorgasii	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
278940|Botrytis galanthina	MI	MI	MI	MI	MI	MI	MI	MI	MI	MI	OI
281687|Caenorhabditis japonica	MC	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
283848|Hyles vespertilio	MI	MI	NR	OI	NR	OI	NR	NR	NR	NR	MI
283909|Capitella teleta	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
285029|Togula jolla	MI	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR
288516|Diploscapter coronatus	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
292155|Pseudomyrmex dendroicus	MC	MC	MC	MC	MC	MC	MC	MC	OC	MC	MC
296797|Chlorociboria aeruginascens	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
298378|Fusarium incarnatum	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC
307972|Apostichopus japonicus	MI	MC	MC	MC	MC	MC	MC	MC	OC	MC	OC
315563|Belgica antarctica	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
324742|Martiniozyma abiesophila	MI	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR
348837|Spironucleus salmonicida	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
353897|Metschnikowia aberdeeniae	MI	MC	NR	OC	NR	OC	NR	NR	NR	NR	OC
353899|Metschnikowia shivogae	MC	MC	OC	OC	NR	OC	NR	NR	NR	NR	MC
357750|Cercospora berteroae	MC	MC	MC	MC	MC	MC	NR	NR	NR	MC	OC
360147|Ceratocystiopsis minuta	MI	MI	MI	MI	OC	MI	OC	OC	OC	OC	OI
367775|Cryptococcus gattii WM276	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC
373115|Blumeriella jaapii	MI	MI	NR	OI	NR	OI	NR	NR	NR	NR	OI
392538|Salmacisia buchloeana	MI	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR
396416|Bombus pyrosoma	MI	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC
401625|Ceraceosorus bombacis	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
429571|Blastocystis sp. subtype 8	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
431595|Globisporangium ultimum DAOM BR144	MI	MI	OC	OC	OC	OC	OC	OC	OC	OC	OI
433476|Lachancea sp. CBS 6924	MC	MC	NR	OC	NR	OC	NR	NR	NR	NR	OC
464258|Chloropicon laureae	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
469304|Thecaphora thlaspeos	MI	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR
470485|Venturia aucupariae	MC	MC	NR	MC	NR	MC	NR	NR	NR	OC	OC
482145|Aspergillus taichungensis	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	OC
488016|Kazachstania kunashirensis	MI	MC	NR	NR	NR	NR	NR	NR	NR	NR	NR
489717|Ambrosiozyma vanderkliftii	MI	OC	NR	OC	NR	OC	NR	NR	NR	NR	NR
490622|Trichoderma arundinaceum	MC	MC	OC	MC	OC	MC	OC	OC	OC	OC	OC
490708|Ogataea nitratoaversa	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
498019|[Candida] auris	MC	OC	NR	NR	NR	NR	NR	NR	NR	NR	NR
505693|Chromera velia	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
505711|Andalucia godoyi	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
507511|Hyphopichia heimii	MC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
510516|Aspergillus oryzae RIB40	MC	MC	MC	MC	MC	MC	OC	OC	OC	MC	MC
515849|Podospora anserina S mat+	MI	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
526221|Verticillium alfalfae VaMs.102	MI	MC	MC	MC	MC	MC	MC	MC	OC	OC	OC
537810|Kuraishia ogatae	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
559131|Cryptolaemus montrouzieri	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
566037|Saccharomycetaceae sp. 'Ashbya aceri'	OI	OI	OI	OI	OI	OI	OI	OI	OI	OI	OI
575412|Acanthoscurria geniculata	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
576137|Phialocephala subalpina	MI	MI	OC	MI	NR	MI	NR	NR	NR	NR	OI
578455|Thermothielavioides terrestris NRRL 8126	MI	MI	NR	MI	NR	MI	NR	NR	NR	NR	MI
578457|Serpula lacrymans var. lacrymans S7.9	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
595635|Phyllosticta citriasiana	MC	MC	OC	MC	OC	MC	OC	OC	OC	OC	OC
596104|Phytophthora multivora	MC	MC	MC	MC	MC	MC	OC	OC	OC	OC	OC
